Country,Gender,Demographics_Question,Demographics_Response,Question,Value
Afghanistan,F,Marital status,Never married,... if she burns the food,14.9
Afghanistan,F,Education,Higher,... if she burns the food,10.1
Afghanistan,F,Education,Secondary,... if she burns the food,13.7
Afghanistan,F,Education,Primary,... if she burns the food,13.8
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she burns the food,13.8
Afghanistan,F,Employment,Employed for kind,... if she burns the food,17.0
Afghanistan,F,Age,15-24,... if she burns the food,17.3
Afghanistan,F,Employment,Unemployed,... if she burns the food,18.0
Afghanistan,F,Residence,Rural,... if she burns the food,18.1
Afghanistan,F,Age,25-34,... if she burns the food,18.2
Afghanistan,F,Marital status,Married or living together,... if she burns the food,18.3
Afghanistan,F,Residence,Urban,... if she burns the food,18.3
Afghanistan,F,Age,35-49,... if she burns the food,18.8
Afghanistan,F,Education,No education,... if she burns the food,19.1
Afghanistan,F,Employment,Employed for cash,... if she burns the food,20.8
Afghanistan,M,Marital status,Never married,... if she burns the food,14.9
Afghanistan,M,Education,Higher,... if she burns the food,4.5
Afghanistan,M,Residence,Urban,... if she burns the food,4.6
Afghanistan,M,Employment,Unemployed,... if she burns the food,5.2
Afghanistan,M,Education,Primary,... if she burns the food,6.3
Afghanistan,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.3
Afghanistan,M,Education,Secondary,... if she burns the food,7.1
Afghanistan,M,Age,25-34,... if she burns the food,8.2
Afghanistan,M,Employment,Employed for cash,... if she burns the food,8.4
Afghanistan,M,Marital status,Married or living together,... if she burns the food,8.5
Afghanistan,M,Age,35-49,... if she burns the food,8.6
Afghanistan,M,Age,15-24,... if she burns the food,9.4
Afghanistan,M,Residence,Rural,... if she burns the food,9.7
Afghanistan,M,Education,No education,... if she burns the food,10.6
Afghanistan,M,Employment,Employed for kind,... if she burns the food,10.7
Afghanistan,F,Age,15-24,... for at least one specific reason,80.1
Afghanistan,F,Age,25-34,... for at least one specific reason,81.5
Afghanistan,F,Age,35-49,... for at least one specific reason,79.0
Afghanistan,F,Age,15-24,... if she argues with him,57.5
Afghanistan,F,Age,25-34,... if she argues with him,60.0
Afghanistan,F,Age,35-49,... if she argues with him,59.8
Afghanistan,F,Age,15-24,... if she goes out without telling him,67.7
Afghanistan,F,Age,25-34,... if she goes out without telling him,68.5
Afghanistan,F,Age,35-49,... if she goes out without telling him,64.7
Afghanistan,F,Age,15-24,... if she neglects the children,46.5
Afghanistan,F,Age,25-34,... if she neglects the children,50.2
Afghanistan,F,Age,35-49,... if she neglects the children,48.1
Afghanistan,F,Age,15-24,... if she refuses to have sex with him,32.1
Afghanistan,F,Age,25-34,... if she refuses to have sex with him,34.3
Afghanistan,F,Age,35-49,... if she refuses to have sex with him,33.5
Afghanistan,F,Education,Higher,... for at least one specific reason,61.1
Afghanistan,F,Education,No education,... for at least one specific reason,81.0
Afghanistan,F,Education,Primary,... for at least one specific reason,79.8
Afghanistan,F,Education,Secondary,... for at least one specific reason,76.0
Afghanistan,F,Education,Higher,... if she argues with him,37.7
Afghanistan,F,Education,No education,... if she argues with him,60.2
Afghanistan,F,Education,Primary,... if she argues with him,56.9
Afghanistan,F,Education,Secondary,... if she argues with him,55.4
Afghanistan,F,Education,Higher,... if she goes out without telling him,41.1
Afghanistan,F,Education,No education,... if she goes out without telling him,68.4
Afghanistan,F,Education,Primary,... if she goes out without telling him,64.1
Afghanistan,F,Education,Secondary,... if she goes out without telling him,58.2
Afghanistan,F,Education,Higher,... if she neglects the children,33.4
Afghanistan,F,Education,No education,... if she neglects the children,48.9
Afghanistan,F,Education,Primary,... if she neglects the children,50.6
Afghanistan,F,Education,Secondary,... if she neglects the children,44.4
Afghanistan,F,Education,Higher,... if she refuses to have sex with him,10.8
Afghanistan,F,Education,No education,... if she refuses to have sex with him,34.2
Afghanistan,F,Education,Primary,... if she refuses to have sex with him,35.9
Afghanistan,F,Education,Secondary,... if she refuses to have sex with him,26.6
Afghanistan,F,Employment,Employed for cash,... for at least one specific reason,80.2
Afghanistan,F,Employment,Employed for kind,... for at least one specific reason,86.9
Afghanistan,F,Employment,Unemployed,... for at least one specific reason,80.1
Afghanistan,F,Employment,Employed for cash,... if she argues with him,57.8
Afghanistan,F,Employment,Employed for kind,... if she argues with him,53.5
Afghanistan,F,Employment,Unemployed,... if she argues with him,59.8
Afghanistan,F,Employment,Employed for cash,... if she goes out without telling him,66.7
Afghanistan,F,Employment,Employed for kind,... if she goes out without telling him,68.0
Afghanistan,F,Employment,Unemployed,... if she goes out without telling him,67.0
Afghanistan,F,Employment,Employed for cash,... if she neglects the children,48.1
Afghanistan,F,Employment,Employed for kind,... if she neglects the children,49.3
Afghanistan,F,Employment,Unemployed,... if she neglects the children,48.6
Afghanistan,F,Employment,Employed for cash,... if she refuses to have sex with him,32.5
Afghanistan,F,Employment,Employed for kind,... if she refuses to have sex with him,31.4
Afghanistan,F,Employment,Unemployed,... if she refuses to have sex with him,33.7
Afghanistan,F,Marital status,Married or living together,... for at least one specific reason,80.6
Afghanistan,F,Marital status,Never married,... for at least one specific reason,14.9
Afghanistan,F,Marital status,"Widowed, divorced, separated",... for at least one specific reason,67.6
Afghanistan,F,Marital status,Married or living together,... if she argues with him,59.5
Afghanistan,F,Marital status,Never married,... if she argues with him,14.9
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she argues with him,51.5
Afghanistan,F,Marital status,Married or living together,... if she goes out without telling him,67.1
Afghanistan,F,Marital status,Never married,... if she goes out without telling him,14.9
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,58.5
Afghanistan,F,Marital status,Married or living together,... if she neglects the children,48.6
Afghanistan,F,Marital status,Never married,... if she neglects the children,14.9
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she neglects the children,43.1
Afghanistan,F,Marital status,Married or living together,... if she refuses to have sex with him,33.5
Afghanistan,F,Marital status,Never married,... if she refuses to have sex with him,14.9
Afghanistan,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,29.1
Afghanistan,F,Residence,Rural,... for at least one specific reason,82.1
Afghanistan,F,Residence,Urban,... for at least one specific reason,74.0
Afghanistan,F,Residence,Rural,... if she argues with him,60.6
Afghanistan,F,Residence,Urban,... if she argues with him,54.7
Afghanistan,F,Residence,Rural,... if she goes out without telling him,69.3
Afghanistan,F,Residence,Urban,... if she goes out without telling him,58.9
Afghanistan,F,Residence,Rural,... if she neglects the children,48.9
Afghanistan,F,Residence,Urban,... if she neglects the children,46.7
Afghanistan,F,Residence,Rural,... if she refuses to have sex with him,35.2
