Country,Gender,Demographics_Question,Demographics_Response,Question,Value
Zambia,M,Education,Secondary,... if she burns the food,6.0
Pakistan,F,Marital status,Married or living together,... if she argues with him,31.8
Uganda,M,Employment,Employed for cash,... if she burns the food,6.9
Egypt,F,Residence,Urban,... if she refuses to have sex with him,10.2
Egypt,F,Education,Primary,... if she goes out without telling him,36.7
India,M,Education,Primary,... if she argues with him,23.8
Togo,F,Education,Higher,... if she argues with him,4.8
Timor-Leste,M,Age,35-49,... if she neglects the children,45.9
Guatemala,M,Employment,Unemployed,... if she goes out without telling him,3.3
Tajikistan,M,Residence,Rural,... if she burns the food,14.9
Guinea,F,Employment,Employed for cash,... for at least one specific reason,66.0
Haiti,M,Education,Secondary,... if she refuses to have sex with him,1.7
Morocco,M,Age,25-34,... for at least one specific reason,14.9
Guinea,F,Age,15-24,... if she burns the food,22.0
Mozambique,M,Education,Secondary,... if she argues with him,5.8
Benin,M,Age,35-49,... if she goes out without telling him,7.2
Afghanistan,F,Education,Higher,... for at least one specific reason,61.1
Bangladesh,F,Employment,Unemployed,... if she neglects the children,14.5
Senegal,M,Employment,Employed for cash,... for at least one specific reason,22.2
Congo Democratic Republic,F,Employment,Employed for kind,... if she neglects the children,40.6
Burkina Faso,M,Education,Primary,... if she refuses to have sex with him,8.1
Rwanda,F,Education,Higher,... if she goes out without telling him,4.1
South Africa,M,Marital status,Married or living together,... if she refuses to have sex with him,0.8
Myanmar,M,Education,No education,... if she burns the food,6.8
Burkina Faso,M,Employment,Employed for kind,... if she argues with him,27.0
Congo Democratic Republic,F,Marital status,"Widowed, divorced, separated",... if she refuses to have sex with him,46.5
Pakistan,M,Employment,Employed for cash,... if she burns the food,4.2
Tajikistan,M,Education,Secondary,... if she neglects the children,14.9
Niger,M,Age,15-24,... if she goes out without telling him,22.9
Mali,F,Marital status,"Widowed, divorced, separated",... if she argues with him,55.1
Philippines,M,Age,25-34,... if she goes out without telling him,14.9
Kyrgyz Republic,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,57.0
South Africa,M,Residence,Rural,... for at least one specific reason,14.9
Albania,M,Education,Secondary,... if she neglects the children,8.4
Tanzania,F,Age,25-34,... for at least one specific reason,55.9
Yemen,F,Employment,Employed for kind,... if she goes out without telling him,47.8
Malawi,M,Residence,Rural,... if she goes out without telling him,5.1
Rwanda,M,Education,Primary,... for at least one specific reason,18.4
Guinea,M,Marital status,Never married,... if she goes out without telling him,35.9
Burundi,F,Age,35-49,... if she burns the food,20.4
Indonesia,M,Marital status,Never married,... for at least one specific reason,14.9
Dominican Republic,M,Marital status,Never married,... if she argues with him,1.6
India,M,Employment,Unemployed,... if she argues with him,19.3
Gambia,M,Employment,Employed for kind,... if she goes out without telling him,35.3
Guyana,M,Age,35-49,... if she goes out without telling him,6.2
Peru,M,Residence,Rural,... if she goes out without telling him,14.9
Namibia,M,Residence,Rural,... if she neglects the children,17.7
Bangladesh,M,Residence,Urban,... for at least one specific reason,14.9
Gambia,M,Education,Primary,... if she neglects the children,23.0
Tanzania,M,Education,Secondary,... if she burns the food,5.3
Rwanda,F,Residence,Rural,... for at least one specific reason,45.8
Timor-Leste,M,Education,Primary,... if she refuses to have sex with him,23.0
South Africa,F,Age,25-34,... if she refuses to have sex with him,0.8
Turkmenistan,M,Age,15-24,... if she refuses to have sex with him,14.9
Angola,F,Education,Higher,... if she argues with him,3.0
Philippines,F,Residence,Urban,... for at least one specific reason,8.5
Afghanistan,F,Age,25-34,... if she goes out without telling him,68.5
Cote d'Ivoire,F,Education,Primary,... if she goes out without telling him,26.9
Armenia,F,Age,15-24,... if she goes out without telling him,4.7
Rwanda,F,Marital status,Married or living together,... if she burns the food,7.2
Congo,F,Education,Primary,... if she argues with him,14.9
Zimbabwe,F,Residence,Rural,... if she burns the food,10.5
Armenia,M,Residence,Urban,... if she argues with him,9.5
Mali,M,Residence,Urban,... if she argues with him,23.8
Peru,F,Age,35-49,... if she refuses to have sex with him,0.8
Benin,F,Age,25-34,... if she burns the food,13.4
Turkmenistan,M,Employment,Unemployed,... for at least one specific reason,14.9
Chad,M,Residence,Urban,... if she goes out without telling him,26.3
Guatemala,F,Employment,Employed for cash,... if she neglects the children,6.3
Honduras,M,Marital status,"Widowed, divorced, separated",... if she neglects the children,11.0
India,F,Marital status,Never married,... if she burns the food,15.8
Burkina Faso,F,Employment,Unemployed,... if she burns the food,12.1
Senegal,M,Marital status,Never married,... if she burns the food,7.5
Zimbabwe,M,Age,25-34,... if she argues with him,11.3
Egypt,M,Age,35-49,... if she burns the food,14.9
Azerbaijan,M,Marital status,Married or living together,... if she goes out without telling him,36.8
Burundi,F,Marital status,Never married,... if she neglects the children,51.7
Tanzania,M,Residence,Rural,... if she burns the food,7.5
Zambia,M,Marital status,Married or living together,... if she refuses to have sex with him,10.0
Dominican Republic,F,Education,Secondary,... for at least one specific reason,2.0
Liberia,F,Residence,Rural,... if she neglects the children,35.8
Cote d'Ivoire,F,Employment,Employed for cash,... if she burns the food,16.4
Chad,F,Marital status,"Widowed, divorced, separated",... if she argues with him,49.3
Rwanda,F,Residence,Urban,... if she refuses to have sex with him,13.1
Egypt,F,Age,25-34,... if she burns the food,6.5
Jordan,M,Education,No education,... if she argues with him,34.0
India,M,Marital status,Married or living together,... for at least one specific reason,30.8
Niger,F,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,37.6
Maldives,M,Age,35-49,... if she burns the food,14.9
Senegal,F,Employment,Employed for cash,... if she burns the food,20.3
Ethiopia,F,Employment,Unemployed,... if she argues with him,42.4
Guinea,M,Age,25-34,... if she burns the food,13.9
Myanmar,M,Marital status,Never married,... if she goes out without telling him,18.1
Burkina Faso,M,Marital status,"Widowed, divorced, separated",... for at least one specific reason,39.5
Sierra Leone,M,Age,25-34,... if she argues with him,26.4
Benin,M,Education,Secondary,... if she burns the food,4.3
Angola,F,Age,25-34,... if she argues with him,14.1
Sao Tome and Principe,M,Marital status,"Widowed, divorced, separated",... if she burns the food,6.8
Cambodia,F,Residence,Rural,... if she neglects the children,46.2
Ethiopia,F,Marital status,Never married,... if she refuses to have sex with him,23.6
Turkey,F,Age,25-34,... if she refuses to have sex with him,2.1
Benin,F,Residence,Urban,... if she goes out without telling him,16.9
Rwanda,M,Age,15-24,... if she refuses to have sex with him,9.3
Cambodia,M,Age,15-24,... if she goes out without telling him,10.5
Egypt,M,Education,Primary,... if she argues with him,14.9
Namibia,M,Age,15-24,... if she goes out without telling him,11.9
Chad,F,Education,No education,... if she goes out without telling him,56.3
Morocco,F,Age,35-49,... if she refuses to have sex with him,47.9
Mali,F,Residence,Rural,... if she goes out without telling him,57.2
Niger,M,Employment,Employed for kind,... for at least one specific reason,30.4
Timor-Leste,F,Employment,Employed for cash,... if she goes out without telling him,65.3
Togo,M,Marital status,"Widowed, divorced, separated",... if she goes out without telling him,12.2
Indonesia,M,Employment,Unemployed,... if she refuses to have sex with him,4.2
Myanmar,M,Residence,Urban,... if she argues with him,10.7
Nicaragua,F,Employment,Employed for kind,... if she neglects the children,10.1
Nepal,M,Employment,Unemployed,... if she goes out without telling him,8.8
Timor-Leste,M,Employment,Employed for cash,... if she argues with him,31.5
Nigeria,F,Education,Primary,... if she neglects the children,28.7
